"","nm","m1","bw","m2","focr","focr_se","fdr","fdr_se","pwr","pwr_se","mu_type","cov_type","snr"
"202","FOCR-O11-BH","FOCR (overlap)","11","BH",NA,NA,0.00218045973482082,0.000101941721085813,0.649135360763268,0.000388263278813243,"sine","iid",0.302325581395349
"203","FOCR-O11-LAWS","FOCR (overlap)","11","LAWS",NA,NA,0.000430715505241637,3.98246877994153e-05,0.691174716756112,0.000495074678988246,"sine","iid",0.302325581395349
"204","FOCR-O11-SABHA","FOCR (overlap)","11","SABHA",NA,NA,0.00121548027847987,6.33269134953115e-05,0.680202742993441,0.000473089159064109,"sine","iid",0.302325581395349
"205","FOCR-D11-RAW","FOCR (disjoint)","11","",0.00801767369833167,0.000482489049526467,0.0113527938627201,0.000498576263398367,0.780500894454383,0.000587008351556826,"sine","iid",0.302325581395349
"206","FOCR-D11-BH","FOCR (disjoint)","11","BH",NA,NA,0.000276106868127054,3.72861088346068e-05,0.644961240310078,0.000414533205564993,"sine","iid",0.302325581395349
"207","FOCR-D11-LAWS","FOCR (disjoint)","11","LAWS",NA,NA,0,0,0.673345259391771,0.000418321664576726,"sine","iid",0.302325581395349
"208","FOCR-D11-SABHA","FOCR (disjoint)","11","SABHA",NA,NA,8.63557858376511e-05,1.57663372914556e-05,0.664758497316637,0.000407633281390848,"sine","iid",0.302325581395349
"209","FOCR-O21-RAW","FOCR (overlap)","21","",0.00395513355746673,0.000229504154355966,0.113282447266041,0.000781654170011845,0.927489564698867,0.000630238160976762,"sine","iid",0.302325581395349
"210","FOCR-O21-BH","FOCR (overlap)","21","BH",NA,NA,0.00484021212987231,0.000152680851109547,0.645855694692904,0.000332370369745163,"sine","iid",0.302325581395349
"211","FOCR-O21-LAWS","FOCR (overlap)","21","LAWS",NA,NA,0.0014790912276536,8.09706394629314e-05,0.687000596302922,0.000519486984612526,"sine","iid",0.302325581395349
"212","FOCR-O21-SABHA","FOCR (overlap)","21","SABHA",NA,NA,0.00351028520053853,0.000119601797285656,0.675134168157424,0.000448042081741766,"sine","iid",0.302325581395349
"213","FOCR-D21-RAW","FOCR (disjoint)","21","",0.00377220663861618,0.000393470618900387,0.0444934594391116,0.000429061502253472,0.814251639833035,0.000879048587863648,"sine","iid",0.302325581395349
"214","FOCR-D21-BH","FOCR (disjoint)","21","BH",NA,NA,0.00164565049457801,7.80095100133759e-05,0.646213476446035,0.000339017948330852,"sine","iid",0.302325581395349
"215","FOCR-D21-LAWS","FOCR (disjoint)","21","LAWS",NA,NA,0.000268662024147918,3.58621814091271e-05,0.666368515205724,0.000420412152968623,"sine","iid",0.302325581395349
"216","FOCR-D21-SABHA","FOCR (disjoint)","21","SABHA",NA,NA,0.00117679654053083,6.15205885932261e-05,0.657304710793083,0.000363116700649999,"sine","iid",0.302325581395349
"217","BH","BH","","",NA,NA,0.0222938323396521,0.000250409029492903,0.646869409660107,0.000336446361782731,"sine","iid",0.318181818181818
"218","LAWS","LAWS","","",NA,NA,0.0266473760421574,0.000250612130703081,0.678056052474657,0.000420042568345925,"sine","iid",0.318181818181818
"219","SABHA","SABHA","","",NA,NA,0.0341756268200099,0.000307020475747542,0.676863446630888,0.000369742080262939,"sine","iid",0.318181818181818
"220","FOCR-O3-RAW","FOCR (overlap)","3","",0.0181095095106974,0.000360086828966901,0.0342565943498281,0.000645182407265707,0.75283243887895,0.000505757625329086,"sine","iid",0.318181818181818
"221","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.000994004744167294,6.90445271409136e-05,0.654561717352415,0.000348177101474411,"sine","iid",0.318181818181818
"222","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.00356094390305041,0.000157316055870347,0.695527728085868,0.000387841986068931,"sine","iid",0.318181818181818
"223","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0.0024702526247128,0.000134482467945931,0.690280262373286,0.000402832444877709,"sine","iid",0.318181818181818
"224","FOCR-D3-RAW","FOCR (disjoint)","3","",0.0179224326899456,0.000428888142011479,0.0183348063724601,0.000423737803425329,0.716875372689326,0.000530568264872783,"sine","iid",0.318181818181818
"225","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0.000557987856560601,5.10034428280992e-05,0.637865235539654,0.000405849693533393,"sine","iid",0.318181818181818
"226","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0.0011511200698449,7.26439266180756e-05,0.670661896243292,0.000420295477145112,"sine","iid",0.318181818181818
