"","nm","m1","bw","m2","focr","focr_se","fdr","fdr_se","pwr","pwr_se","mu_type","cov_type","snr"
"106","BH","BH","","",NA,NA,0.0170698042422367,0.000706052129484853,0.287873462214411,0.00316688823132451,"step","AR",0.233333333333333
"107","LAWS","LAWS","","",NA,NA,0.0559882947755398,0.00163974061845305,0.595869947275923,0.002730446885903,"step","AR",0.233333333333333
"108","SABHA","SABHA","","",NA,NA,0.0519174052968344,0.00150648088216463,0.576669595782074,0.00307607306944767,"step","AR",0.233333333333333
"109","FOCR-O3-RAW","FOCR (overlap)","3","",0.0153819305497877,0.000728123603315943,0.0261975993743041,0.000955963249883609,0.330140597539543,0.00343502202967116,"step","AR",0.233333333333333
"110","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.00667983487429088,0.000441094059866082,0.229964850615114,0.00303378969862648,"step","AR",0.233333333333333
"111","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.0111999309214655,0.000537526446515854,0.257996485061511,0.00322178933253552,"step","AR",0.233333333333333
"112","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0.00764084671926068,0.000406138297737276,0.239762741652021,0.00329048048376717,"step","AR",0.233333333333333
"113","FOCR-D3-RAW","FOCR (disjoint)","3","",0.0148286189159748,0.00067087875606098,0.0179689657280181,0.000709293662352944,0.289718804920914,0.00329052053524372,"step","AR",0.233333333333333
"114","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0.00437819555315445,0.000312369776287526,0.192091388400703,0.00273130331389344,"step","AR",0.233333333333333
"115","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0.00764865158126146,0.000464965750135529,0.22091388400703,0.00308271186096956,"step","AR",0.233333333333333
"116","FOCR-D3-SABHA","FOCR (disjoint)","3","SABHA",NA,NA,0.00459052185829713,0.000328178539049071,0.206502636203866,0.00307204456068628,"step","AR",0.233333333333333
"117","FOCR-O11-RAW","FOCR (overlap)","11","",0.0134094714058521,0.000781566311172603,0.0577326382401519,0.00112703463091337,0.473462214411248,0.00367003801473186,"step","AR",0.233333333333333
"118","FOCR-O11-BH","FOCR (overlap)","11","BH",NA,NA,0.0170849327175555,0.000933813562394532,0.384358523725835,0.00315169069490637,"step","AR",0.233333333333333
"119","FOCR-O11-LAWS","FOCR (overlap)","11","LAWS",NA,NA,0.0220401476794907,0.000989148385802502,0.421177504393673,0.00351638233042026,"step","AR",0.233333333333333
"120","FOCR-O11-SABHA","FOCR (overlap)","11","SABHA",NA,NA,0.018136163403372,0.000942636399972473,0.395518453427065,0.00361839858101337,"step","AR",0.233333333333333
"121","FOCR-D11-RAW","FOCR (disjoint)","11","",0.0135733017136649,0.000900891041159968,0.030936696253525,0.000918054543565837,0.369420035149385,0.00338221666448768,"step","AR",0.233333333333333
"122","FOCR-D11-BH","FOCR (disjoint)","11","BH",NA,NA,0.0111146772822274,0.000746130824855966,0.319903339191564,0.00310205237475005,"step","AR",0.233333333333333
"123","FOCR-D11-LAWS","FOCR (disjoint)","11","LAWS",NA,NA,0.0124967961917071,0.000735443403728416,0.338005272407733,0.00329396107419301,"step","AR",0.233333333333333
"124","FOCR-D11-SABHA","FOCR (disjoint)","11","SABHA",NA,NA,0.00996287883863697,0.000700496933612216,0.317003514938489,0.00340785476323269,"step","AR",0.233333333333333
"125","FOCR-O21-RAW","FOCR (overlap)","21","",0.0109738338721686,0.000720170460835038,0.0928817659148852,0.00138861148907504,0.591476274165202,0.00363262479336512,"step","AR",0.233333333333333
"126","FOCR-O21-BH","FOCR (overlap)","21","BH",NA,NA,0.0180351308185761,0.00093167635652099,0.401581722319859,0.00273086471131187,"step","AR",0.233333333333333
"127","FOCR-O21-LAWS","FOCR (overlap)","21","LAWS",NA,NA,0.0253654056857492,0.00110287827299494,0.504789103690685,0.00332408918097527,"step","AR",0.233333333333333
"128","FOCR-O21-SABHA","FOCR (overlap)","21","SABHA",NA,NA,0.0212020744595623,0.00101863042638693,0.468980667838313,0.0036872846506856,"step","AR",0.233333333333333
"129","FOCR-D21-RAW","FOCR (disjoint)","21","",0.0084672619047619,0.000575779782157009,0.0444952822815218,0.00102013585292918,0.442706502636204,0.00326739761024043,"step","AR",0.233333333333333
"130","FOCR-D21-BH","FOCR (disjoint)","21","BH",NA,NA,0.0120458612592245,0.000740948631179748,0.360500878734622,0.00276462665029554,"step","AR",0.233333333333333
"131","FOCR-D21-LAWS","FOCR (disjoint)","21","LAWS",NA,NA,0.0140909680547668,0.000766898032763781,0.400702987697715,0.00300323068864667,"step","AR",0.233333333333333
"132","FOCR-D21-SABHA","FOCR (disjoint)","21","SABHA",NA,NA,0.00990872832375327,0.000644951453275851,0.364279437609842,0.00332469220392817,"step","AR",0.233333333333333
"133","FOCR-O41-RAW","FOCR (overlap)","41","",0.00616724798618902,0.000510354391662259,0.161908226037913,0.00169692316820688,0.736467486818981,0.00337585548167998,"step","AR",0.233333333333333
"134","FOCR-O41-BH","FOCR (overlap)","41","BH",NA,NA,0.0142984103519855,0.000767593013672057,0.373198594024605,0.00270243272177618,"step","AR",0.233333333333333
